"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","altitude","study_title","collection_time_in_unix_epoch","tmp_and_unique_source_specimen_id","tmp_and_unique_target_specimen_id","source_specimen_life_stage","target_specimen_life_stage","source_specimen_basis_of_record","target_specimen_basis_of_record","source_specimen_body_part","target_specimen_body_part","source_specimen_physiological_state","target_specimen_physiological_state","target_specimen_total_count","target_specimen_total_count_percent","target_specimen_total_volume_ml","target_specimen_total_volume_ml_percent","target_specimen_frequency_of_occurrence","target_specimen_frequency_of_occurrence_percent","footprintWKT","locality"
"Carcharhinus falciformis","eats","Sphyraena barracuda",25.098452,-96.781157,,"Osorno 1992",,1496681,1496685,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-96.8692818895 25.9511269015999,-96.3374734989999 25.9350972665,-96.3255895126 25.7987573949,-96.3315315058 25.7238373309999,-96.3463864887 25.6167267671999,-96.3671834648999 25.5470533517999,-96.3879804410999 25.471975129,-96.3968934308999 25.4022176442,-96.3968934308999 25.3109354399,-96.3879804410999 25.1900149531999,-96.5781242232 25.0447518056999,-96.7504420256999 24.5782152076,-96.7593550155 24.4051803993,-96.792035978 24.2075227822,-96.8336299303999 24.1533163488999,-97.2109464978999 24.1641594773999,-97.2020335082 24.2996208072,-97.1485555694 24.4105913375,-97.1931205183999 24.5782152076,-97.1307295899 24.6295390253,-97.1544975626 24.7725940067999,-97.0891356374999 24.9047059295999,-97.1485555694 25.017832294,-97.1485555694 25.0689743145999,-96.9138468384 25.3297344675,-96.8989918553999 25.4773394155999,-96.8276879371999 25.4478328792,-96.9257308247999 25.5952931138,-96.8633398963 25.6810046553,-96.8187749474 25.8361996858,-96.8692818895 25.881649401,-96.8692818895 25.9511269015999))","Continental shelf off of Veracruz, Mexico"
"Carcharhinus falciformis","eats","Actinopterygii",25.098452,-96.781157,,"Osorno 1992",,1496681,1496683,,,"Literature","Literature",,"bone tissue",,,,,,,,,"POLYGON((-96.8692818895 25.9511269015999,-96.3374734989999 25.9350972665,-96.3255895126 25.7987573949,-96.3315315058 25.7238373309999,-96.3463864887 25.6167267671999,-96.3671834648999 25.5470533517999,-96.3879804410999 25.471975129,-96.3968934308999 25.4022176442,-96.3968934308999 25.3109354399,-96.3879804410999 25.1900149531999,-96.5781242232 25.0447518056999,-96.7504420256999 24.5782152076,-96.7593550155 24.4051803993,-96.792035978 24.2075227822,-96.8336299303999 24.1533163488999,-97.2109464978999 24.1641594773999,-97.2020335082 24.2996208072,-97.1485555694 24.4105913375,-97.1931205183999 24.5782152076,-97.1307295899 24.6295390253,-97.1544975626 24.7725940067999,-97.0891356374999 24.9047059295999,-97.1485555694 25.017832294,-97.1485555694 25.0689743145999,-96.9138468384 25.3297344675,-96.8989918553999 25.4773394155999,-96.8276879371999 25.4478328792,-96.9257308247999 25.5952931138,-96.8633398963 25.6810046553,-96.8187749474 25.8361996858,-96.8692818895 25.881649401,-96.8692818895 25.9511269015999))","Continental shelf off of Veracruz, Mexico"
"Carcharhinus falciformis","eats","Sphyraena barracuda",20.259149,-96.703054,,"Osorno 1992",,1497119,1497123,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-96.8162492027999 20.3418593371,-96.7805972435999 20.3602439361,-96.7378148927 20.3552301715999,-96.7075107274 20.3385164476999,-96.6219460254999 20.2331784751999,-96.6005548499999 20.1880117456,-96.5898592621999 20.1511995416,-96.6130330356999 20.1244215762,-96.6558153865999 20.134463851,-96.7413800885999 20.2264879352,-96.7681190578999 20.2582654353,-96.7984232232 20.3034117459,-96.8162492027999 20.3418593371))","Coastal waters off of Veracruz, Mexico"
"Carcharhinus falciformis","eats","Actinopterygii",20.259149,-96.703054,,"Osorno 1992",,1497119,1497121,,,"Literature","Literature",,"bone tissue",,,,,,,,,"POLYGON((-96.8162492027999 20.3418593371,-96.7805972435999 20.3602439361,-96.7378148927 20.3552301715999,-96.7075107274 20.3385164476999,-96.6219460254999 20.2331784751999,-96.6005548499999 20.1880117456,-96.5898592621999 20.1511995416,-96.6130330356999 20.1244215762,-96.6558153865999 20.134463851,-96.7413800885999 20.2264879352,-96.7681190578999 20.2582654353,-96.7984232232 20.3034117459,-96.8162492027999 20.3418593371))","Coastal waters off of Veracruz, Mexico"
"Carcharhinus falciformis","eats","Sphyraena barracuda",19.349293,-96.076471,,"Osorno 1992",,1496900,1496904,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-96.4347732399999 20.0055390885999,-96.3902082909999 20.0088891233999,-96.3367303522999 19.9954885566,-96.2939480012999 19.9569555759999,-96.2511656503999 19.8832140951,-96.1887747219 19.7809248044,-96.0461668852999 19.5862263859,-95.9178198323999 19.4165124696,-95.8215595427 19.3071967503,-95.7395600366999 19.2314737841,-95.7074732733999 19.2062250279,-95.6807343041 19.1877068093,-95.6629083244999 19.0950845043999,-95.6539953346999 18.9636403563,-95.6718213143 18.8169072652999,-95.6842994999999 18.76965552,-95.7235166550999 18.76965552,-95.7627338101 18.8000331643999,-95.7841249856 18.8354668204999,-95.7983857692999 18.8202818823,-95.8340377284 18.8202818823,-95.9623847813 18.8860733618999,-95.9926889465999 19.0630756445,-96.0087323281999 19.0748691018999,-96.060427669 19.0630756445,-96.101427422 19.0832924862,-96.1156882055999 19.1287713545,-96.1121230096999 19.1573997773,-96.1566879586 19.1759214036,-96.1762965361999 19.2045416395999,-96.2030355054999 19.2499870725,-96.2511656503999 19.2651327548,-96.3135565789 19.3273836275,-96.3135565789 19.3778399034,-96.3331651564 19.3980180410999,-96.3420781461999 19.4366858100999,-96.3331651564 19.4719831242999,-96.4009038787999 19.5879058306,-96.3991212808 19.6298862499999,-96.431208044 19.6718557015,-96.4294254460999 19.7339503195,-96.4508166215999 19.7859569642,-96.4668600031999 19.8362698116,-96.4989467663999 19.9033288181999,-96.4900337766 19.9552800154,-96.4668600031999 19.9804115557,-96.4347732399999 20.0055390885999))","Coastal waters off of Veracruz, Mexico"
"Carcharhinus falciformis","eats","Actinopterygii",19.349293,-96.076471,,"Osorno 1992",,1496900,1496902,,,"Literature","Literature",,"bone tissue",,,,,,,,,"POLYGON((-96.4347732399999 20.0055390885999,-96.3902082909999 20.0088891233999,-96.3367303522999 19.9954885566,-96.2939480012999 19.9569555759999,-96.2511656503999 19.8832140951,-96.1887747219 19.7809248044,-96.0461668852999 19.5862263859,-95.9178198323999 19.4165124696,-95.8215595427 19.3071967503,-95.7395600366999 19.2314737841,-95.7074732733999 19.2062250279,-95.6807343041 19.1877068093,-95.6629083244999 19.0950845043999,-95.6539953346999 18.9636403563,-95.6718213143 18.8169072652999,-95.6842994999999 18.76965552,-95.7235166550999 18.76965552,-95.7627338101 18.8000331643999,-95.7841249856 18.8354668204999,-95.7983857692999 18.8202818823,-95.8340377284 18.8202818823,-95.9623847813 18.8860733618999,-95.9926889465999 19.0630756445,-96.0087323281999 19.0748691018999,-96.060427669 19.0630756445,-96.101427422 19.0832924862,-96.1156882055999 19.1287713545,-96.1121230096999 19.1573997773,-96.1566879586 19.1759214036,-96.1762965361999 19.2045416395999,-96.2030355054999 19.2499870725,-96.2511656503999 19.2651327548,-96.3135565789 19.3273836275,-96.3135565789 19.3778399034,-96.3331651564 19.3980180410999,-96.3420781461999 19.4366858100999,-96.3331651564 19.4719831242999,-96.4009038787999 19.5879058306,-96.3991212808 19.6298862499999,-96.431208044 19.6718557015,-96.4294254460999 19.7339503195,-96.4508166215999 19.7859569642,-96.4668600031999 19.8362698116,-96.4989467663999 19.9033288181999,-96.4900337766 19.9552800154,-96.4668600031999 19.9804115557,-96.4347732399999 20.0055390885999))","Coastal waters off of Veracruz, Mexico"
"Carcharhinus falciformis","eats","Octopoda",22.2022,-89.304758,,"Bonfil 1997",,1583379,1583381,,,"Literature","Literature",,,,,,,,,,,"POLYGON((21.7182803851317 -92.5285417597943,22.0564881284244 -92.3628987788555,22.3967477433137 -91.425707823757,22.500638142836 -90.9198694386236,22.5975719823611 -90.4948522048653,22.7662926951518 -89.9896483885622,22.9239982183431 -89.8826925113502,22.993176638591 -89.5147628138527,23.0607035663165 -89.2793122280768,23.1866501268019 -89.1567787422451,23.4038844445115 -89.2200399516823,23.5346948192105 -89.0774321148002,23.7437209094924 -89.0394033584781,23.7329767755578 -88.8555209051655,23.7162843358534 -88.5992219821087,23.6298286782509 -88.5585270156092,23.5571700066905 -88.3855385637536,23.6100166684345 -88.2485893736006,23.7684996186625 -88.1642680806073,23.7815501683056 -87.9289651500216,23.6305398729168 -87.9080478554241,23.5944608611798 -87.8172282393916,23.4865697528918 -87.71500269272,23.3455711188121 -87.664753351286,23.4234294078409 -87.6080789500834,23.4504449881457 -87.4785803759835,23.5346948192105 -87.4136740214389,23.5608413189717 -87.2615589961507,23.2467412503085 -87.1474727271845,23.0194296540553 -87.1189511592685,22.8355514959048 -87.0904295922518,22.5987713155438 -86.9858505116917,22.4406909908965 -87.0048648903024,22.2268392590246 -86.7452569918166,22.0358910059651 -86.5104910572164,21.656440888736 -86.4154191659616,21.5002338725951 -86.584647173728,21.599271276748 -87.1031058863275,21.4465463348455 -87.172138083106,21.4679972385817 -87.475957539209,21.5225852845832 -87.8028253674966,21.6044288985748 -88.083596451415,21.530381904901 -88.5278014485779,21.4055858489078 -88.7897147726186,21.3529054978904 -89.1438215871964,21.2963018004877 -89.5838359711531,21.2103787007164 -89.9127991064935,21.0931302346726 -90.208237336184,20.9355817295132 -90.487002564117,20.8584636895477 -91.2887425699136,21.0105063841623 -92.0079822228013,21.1164382878966 -92.5095273820829,21.3729923027526 -92.5176232832878,21.7182803851317 -92.5285417597943))","Campeche Bank"
"Carcharhinus leucas","eats","Actinopterygii",29.670318,-94.777429,,"Pullen 1962",-289242000000,1578942,1578944,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-94.7897268571999 29.547894582,-94.9042602332999 29.656561124,-94.8900834636 29.6620724226,-94.8695408888 29.6734062889999,-94.8665042821999 29.6779178349999,-94.8628491429 29.6999949335999,-94.8538953935999 29.7136046524999,-94.8542684665 29.7171687979,-94.839718624 29.7340157717999,-94.819945761 29.7534510726999,-94.8039036268999 29.7638150259,-94.7770423790999 29.7741779071999,-94.7442119651 29.7851872938,-94.7315274869 29.7813017661999,-94.7054123849 29.7609002724,-94.6960855627999 29.7460013192999,-94.6983240001 29.7340157717999,-94.6972047814 29.7298042934999,-94.6931009797 29.7255926383999,-94.6901163966 29.7103644104999,-94.6893702507999 29.6925412108,-94.6964586355999 29.6818457731,-94.6983240001 29.657533728,-94.7001893645 29.6429436805,-94.7121276968999 29.6166762667999,-94.7222006647999 29.6001340116,-94.7289159766999 29.5900775892,-94.7360043615999 29.5761266987,-94.7535387872 29.561849373,-94.7897268571999 29.547894582))","Trinity Bay"
"Carcharhinus leucas","eats","Actinopterygii",29.584189,-95.045846,,"Pullen 1962",-289242000000,1579025,1579027,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-95.0487605607 29.6032199469,-95.0469056623 29.6039211502,-95.0450507638999 29.6030095849,-95.0428732744999 29.6031498263,-95.042389388 29.6042717499999,-95.0423087401999 29.6069362689,-94.977382519 29.7084202152,-95.0426313311999 29.6092501360999,-95.0414216149 29.6091099032,-95.0416635582 29.6079880333,-95.0413409670999 29.6074972113,-95.0400506029999 29.608408736,-95.0393497599999 29.6094316591,-95.0370666360999 29.6103018764,-95.0348084989 29.6117041796,-95.0338407258 29.6112133757,-95.0339213735999 29.6097409495999,-95.0352923853999 29.6093202525,-95.0372279316 29.6086190866999,-95.0385182957 29.6069362689,-95.0407764328 29.6030797055999,-95.0419861492 29.6016071606999,-95.0414037795 29.598387113,-95.0425506834999 29.5936129703999,-95.0406957850999 29.5914390021,-95.0404538418 29.5899662871999,-95.0413409670999 29.5884935509,-95.0406151372999 29.5866701333,-95.0410990239 29.5851973488,-95.0432765133 29.584005079,-95.0447281728999 29.5830933338,-95.0456959459999 29.5818309036999,-95.0460185369999 29.580147639,-95.0457765936999 29.5778331042,-95.0452927072 29.5768511644,-95.0457765936999 29.5755185163999,-95.0462604803 29.5737650053999,-95.0473895487999 29.5727128842,-95.0480347309 29.5704683224,-95.0491637994999 29.5704683224,-95.0506154591 29.570398179,-95.0520671186999 29.5692057344,-95.0527929484999 29.5677326952,-95.0540026647999 29.5673118228999,-95.0545671991 29.5678729854999,-95.0552930288999 29.5689251571999,-95.0543252558999 29.5709593246,-95.0531961873 29.5719413216999,-95.0516638799 29.5732038754999,-95.0500509248 29.5742559916,-95.0501315725 29.5753080966999,-95.0495670382999 29.5767108864999,-95.0479540830999 29.5774824125,-95.0478734354 29.5809191387999,-95.049325095 29.5819711745,-95.0492444471999 29.5830231991999,-95.0481153786 29.5842856143999,-95.0477121399 29.5855480138,-95.0459378892 29.5863896046,-95.0440829908 29.5866701333,-95.0432765133 29.5892649869,-95.0439216953 29.5912987444,-95.0456959459999 29.5922805438,-95.0464217757999 29.5939636061,-95.0477927876 29.594454494,-95.0476314920999 29.5952960105,-95.0462604803 29.5957167661,-95.0459378892 29.5978205179999,-95.0448088205999 29.5986620064,-95.0447281728999 29.5996437340999,-95.0452120594 29.6008358190999,-95.0460991846999 29.6021681327,-95.049002504 29.6026589806999,-95.0487605607 29.6032199469))","Taylor Lake"
"Carcharhinus leucas","eats","Actinopterygii",29.579986,-95.069581,,"Pullen 1962",-289242000000,1579108,1579110,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-95.0696628504999 29.5687144147999,-95.0697700706 29.5649840961,-95.0680545488999 29.5636784521,-95.0729866739 29.5605075319,-95.0748094157 29.5619064794999,-95.0737593746 29.5640071627999,-95.0742733152 29.5682481324999,-95.0773820529 29.5706716705999,-95.0755888184 29.5714629104,-95.0744150955 29.5705460546999,-95.0715928125 29.5760813893999,-95.071163932 29.5798112981,-95.0729866739 29.5831680981,-95.0805993015 29.5861518265999,-95.0814570624 29.5873639411,-95.0832798042 29.5868045054,-95.0859603069 29.5868977449,-95.0863891873 29.5884828031,-95.0856386465 29.5895084156999,-95.0844592253999 29.5887625167,-95.0822076031 29.5894151785999,-95.0814570624 29.5910001972,-95.0831725840999 29.592305488,-95.0847808856999 29.5921190189,-95.0860675269999 29.5917460798,-95.0886408095999 29.592585191,-95.0905707714999 29.5938904612,-95.0911068719999 29.5951957145999,-95.0904635514 29.5958483349,-95.0885335894 29.5942633925,-95.0868180676999 29.5939836941999,-95.0846736655999 29.5944498576,-95.0815642824999 29.5935175286,-95.0799559808999 29.5929581271,-95.0796343205 29.5914663745,-95.0808137416999 29.5889489919,-95.0807065216 29.5881098505,-95.07909822 29.5881098505,-95.0777043586 29.5888557542999,-95.076096057 29.5884828031,-95.0744877554 29.5866180262,-95.0717000326 29.5858721058,-95.0698772907999 29.5849396975,-95.0693411902 29.5835410689999,-95.0673040081999 29.5810234887,-95.0673040081999 29.5798112981,-95.0680545488999 29.5784125985,-95.0676256685 29.5764543863999,-95.0683762091999 29.5727243537,-95.0696628504999 29.5687144147999))","Mud Lake"
