"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","altitude","study_title","collection_time_in_unix_epoch","tmp_and_unique_source_specimen_id","tmp_and_unique_target_specimen_id","source_specimen_life_stage","target_specimen_life_stage","source_specimen_basis_of_record","target_specimen_basis_of_record","source_specimen_body_part","target_specimen_body_part","source_specimen_physiological_state","target_specimen_physiological_state","target_specimen_total_count","target_specimen_total_count_percent","target_specimen_total_volume_ml","target_specimen_total_volume_ml_percent","target_specimen_frequency_of_occurrence","target_specimen_frequency_of_occurrence_percent","footprintWKT","locality"
"Dasyatis sabina","eats","Gastropoda",28.75054,-82.5001,,"Christian RR, Luczkov...a17608f43ca269eea90bec6715802d26",,23071001,23071003,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Pagurus",28.75054,-82.5001,,"Christian RR, Luczkov...a17608f43ca269eea90bec6715802d26",,23071125,23071127,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Halodule wrightii",28.75054,-82.5001,,"Christian RR, Luczkov...a17608f43ca269eea90bec6715802d26",,23029941,23029943,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Leiostomus xanthurus",28.75054,-82.5001,,"Christian RR, Luczkov...a17608f43ca269eea90bec6715802d26",,23044595,23044597,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Pectinariidae",28.75054,-82.5001,,"Christian RR, Luczkov...a17608f43ca269eea90bec6715802d26",,23042499,23042501,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Alpheus normanni",28.75054,-82.5001,,"Christian RR, Luczkov...a17608f43ca269eea90bec6715802d26",,23042563,23042565,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Myrophis punctatus",28.642313,-96.103142,-0.7,"Akin et al 2006",923702400000,1483309,1483311,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Mollusca",28.642313,-96.103142,-0.7,"Akin et al 2006",923702400000,1483313,1483315,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Callinectes sapidus",28.632555,-96.110896,-0.7,"Akin et al 2006",923702400000,1479827,1479829,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Callinectes sapidus",28.626777,-96.104312,-0.7,"Akin et al 2006",889228800000,1456931,1456935,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Litopenaeus setiferus",28.626777,-96.104312,-0.7,"Akin et al 2006",889228800000,1456931,1456933,,,,,,,,,,,,,,,,
"Dasyatis sabina","eats","Decapoda",28.352929,-96.339331,-13.0,"Divita et al 1983",360486000000,1550942,1550944,,,"Literature","Literature",,,,,,,,,1.0,1.0,"POLYGON((-93.962021475 29.3223189769,-94.5307479865 29.0092102107,-94.8017028759999 28.8844185019,-95.4576989242 28.6469010021,-96.0245650745 28.4715429827,-96.4951709351999 28.2268087278,-96.8588209185 27.9594708368,-97.1440365915999 27.5935630616,-97.2830792322999 27.2834787082999,-97.3044704076999 27.0582831577999,-97.2973400159 26.9248554638999,-97.2438620772 26.7689901723999,-97.1654277670999 26.5108660349,-97.0905586529 26.0953791136,-97.0695170139999 25.9405966736,-97.1404713957 25.9928776233,-97.1582973752999 26.1305932880999,-97.1868189425999 26.27773745,-97.3116007996 26.6830136332,-97.3722091301 26.8994227355,-97.3793395218999 27.0328805649,-97.3579483464999 27.273972604,-97.2474272731 27.5461576965,-97.0834282610999 27.7861335356,-96.9158640530999 28.0098441019999,-96.7304738656 28.1513925789,-96.5593444616999 28.2644968398,-96.3953454496 28.3304189682999,-96.381084666 28.3868911261999,-96.1849988907 28.5028783304,-95.8605660624999 28.6437721721999,-95.5325680384 28.8000992053999,-95.2651783448 28.9437133075999,-95.1510920755 29.0341505011999,-94.8230940514 29.2614519302,-94.7018773904 29.3391791254999,-94.7303989577 29.3702534268,-94.6697906270999 29.4323735778,-94.5877911210999 29.4603152586,-94.2776190766 29.581306899,-94.1813587869 29.5068676248,-93.962021475 29.3223189769))","Texas coastal waters"
"Dasyatis sabina","eats","Phyllodocida",27.796138,-97.070846,,"Gunter 1945",,1579820,1579822,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-97.0331310318999 27.8298269072,-97.0339758382 27.8231028491,-97.0439023129 27.8130159811,-97.0620656497 27.7919052447,-97.0747377449999 27.7756490519999,-97.0867762355999 27.7595773241999,-97.0956467024 27.7571476705,-97.1030387579999 27.7597642184,-97.1049395723999 27.7659315468,-97.1005043389999 27.7741541076999,-97.0939570896999 27.7818154801999,-97.0910002674 27.7859262379999,-97.0880434452 27.7887289383999,-97.0857202276999 27.7922789218,-97.0804401879999 27.7975102649,-97.0787505752 27.8010599614999,-97.0743153419 27.8053568075,-97.0652336735 27.8165651712,-97.0607984401 27.8193670813,-97.0576304163 27.8238499871999,-97.0519279733999 27.8287062596999,-97.0489711511 27.8316946270999,-97.0455919256999 27.8354299707,-97.0394670796 27.8341226151,-97.0331310318999 27.8298269072))","Gulf Waters near Mustang Island"
"Dasyatis sabina","eats","Phyllodocida",27.803494,-96.948334,,"Gunter 1945",,1580093,1580095,,,"Literature","Literature",,,,,,,,,,,"POLYGON((-97.019191727 27.8259045906,-97.0185581222 27.8320681673,-97.0071532362999 27.8427135206999,-96.993425133 27.8501833203999,-96.9742057883999 27.8481291768,-96.9431591546999 27.8423400172,-96.9061988765 27.8311343145,-96.8933155794999 27.8240367709999,-96.8823330968999 27.8115215507,-96.8774754603 27.7984444068,-96.8808546857 27.7829366114,-96.8895139508999 27.7709772828999,-96.9019748447 27.7627544819,-96.9218277940999 27.757895262,-96.9543528388999 27.7649971256,-96.9936363345999 27.7769571115,-97.0111660664999 27.7924657597999,-97.0170797110999 27.8025545359,-97.0189805253999 27.8158179829,-97.019191727 27.8259045906))","Gulf Waters off of Mustang Island"
