consumer,resource,reference
"Birds, clapper rail","Crabs, blue",De Graaf et al. 1985
"Birds, clapper rail","Crabs, blue",Eddleman and Conway 1998
"Birds, clapper rail","Crabs, fiddler",De Graaf et al. 1985
"Birds, clapper rail","Crabs, fiddler",Eddleman and Conway 1998
"Birds, clapper rail","Crabs, fiddler",Heard 1982
"Birds, clapper rail","Crabs, hermit",De Graaf et al. 1985
"Birds, clapper rail","Crabs, hermit",Eddleman and Conway 1998
"Birds, clapper rail","Crabs, marsh",De Graaf et al. 1985
"Birds, clapper rail","Crabs, marsh",Eddleman and Conway 1998
"Birds, clapper rail","Fish, marsh, carnivorous",Heard 1982
"Birds, clapper rail","Fish, marsh, detritivorous",Heard 1982
"Birds, clapper rail","Fish, marsh, herbivorous",Heard 1982
"Birds, clapper rail","Fish, marsh, omnivorous",Heard 1982
"Birds, clapper rail","Fish, marsh, zooplanktivorous",Heard 1982
"Birds, clapper rail","Plants, Distichlis spicata",Heard 1982
"Birds, clapper rail","Plants, Juncus roemerianus",Heard 1982
"Birds, clapper rail","Plants, other marsh plants",Heard 1982
"Birds, clapper rail","Plants, Spartina alterniflora",Heard 1982
"Birds, clapper rail","Plants, Spartina patens",Heard 1982
"Birds, clapper rail","Snails, detritivorous",Eddleman and Conway 1998
"Birds, clapper rail","Snails, detritivorous",Heard 1982
"Birds, clapper rail","Snails, omnivorous",Eddleman and Conway 1998
"Birds, clapper rail","Snails, omnivorous",Heard 1982
"Birds, gulls & terns","Birds, gulls & terns",Montevecchi 1977
"Birds, gulls & terns","Bivalve, suspension-feeding",Knoff et al. 2002
"Birds, gulls & terns","Crabs, blue",Knoff et al. 2002
"Birds, gulls & terns","Crabs, fiddler",Knoff et al. 2002
"Birds, gulls & terns","Crabs, hermit",Knoff et al. 2002
"Birds, gulls & terns","Crabs, marsh",Knoff et al. 2002
"Birds, gulls & terns","Fish, carnivorous",McGinnis and Emslie 2001
"Birds, gulls & terns","Fish, marsh, detritivorous",McGinnis and Emslie 2001
"Birds, gulls & terns","Fish, marsh, zooplanktivorous",Aygen and Emslie 2006
"Birds, gulls & terns","Fish, pelagic, omnivorous",Knoff et al. 2002
"Birds, gulls & terns","Fish, zooplanktivorous",Aygen and Emslie 2006
"Birds, gulls & terns","Fish, zooplanktivorous",McGinnis and Emslie 2001
"Birds, gulls & terns","Insects, carnivorous",Knoff et al. 2002
"Birds, gulls & terns","Insects, detritivorous",Knoff et al. 2002
